kind,legacy_id,canonical_id,status
car,F-USA Gen.1-Reynard 95i Mercedes-Benz,CART_Reynard_95i_Mercedes-178-fusagen1-Open Wheel-4-F-USA Gen.1,canonical
car,F-USA Gen.2-Lola T98,,legacy-fallback
car,F-USA Gen.2-Reynard 98i Ford,,legacy-fallback
car,F-USA Gen.2-Reynard 98i Honda,CART_Reynard_98i_Honda-155-fusagen2-Open Wheel-4-F-USA Gen.2,canonical
car,F-USA Gen.2-Reynard 98i Mercedes,,legacy-fallback
car,F-USA Gen.2-Reynard 98i Toyota,CART_Reynard_98i_Toyota-157-fusagen2-Open Wheel-4-F-USA Gen.2,canonical
car,F-USA Gen.2-Swift 009c,,legacy-fallback
car,F-USA Gen.3-Lola B2K00 Ford-Cosworth,CART_Lola_B2K00_Ford-164-fusagen3-Open Wheel-4-F-USA Gen.3,canonical
car,F-USA Gen.3-Lola B2K00 Mercedez-Benz,,legacy-fallback
car,F-USA Gen.3-Lola B2K00 Toyota,CART_Lola_B2K00_Toyota-172-fusagen3-Open Wheel-4-F-USA Gen.3,canonical
car,F-USA Gen.3-Reynard 2ki Ford-Cosworth,CART_Reynard_2KI_Ford-160-fusagen3-Open Wheel-4-F-USA Gen.3,canonical
car,F-USA Gen.3-Reynard 2ki Honda,CART_Reynard_2KI_Honda-168-fusagen3-Open Wheel-4-F-USA Gen.3,canonical
car,F-USA Gen.3-Reynard 2ki Mercedez-Benz,,legacy-fallback
car,Formula Classic G1-Formula Classic G1 M1 (Williams FW11B),,legacy-fallback
car,Formula Classic G1-Formula Classic G1 M2 (Arrows-BMW A9),,legacy-fallback
car,Formula Classic G2-Formula Classic G2 M1,,legacy-fallback
car,Formula Classic G2-Formula Classic G2 M2,,legacy-fallback
car,Formula Classic G2-Formula Classic G2 M3,,legacy-fallback
car,Formula Classic G3-Formula Classic G3 M1 (Ferrari 643),,legacy-fallback
car,Formula Classic G3-Formula Classic G3 M2 (Williams FW14),,legacy-fallback
car,Formula Classic G3-Formula Classic G3 M3 (Benetton B191),,legacy-fallback
car,F3-F301,F301-13-f3-Open Wheel-5-F3,canonical
car,F3-F309,F309-14-f3-Open Wheel-5-F3,canonical
car,FTS-Formula Trainer,Formula_Trainer-27-fts-Open Wheel-6-FTS,canonical
car,FTS-Formula Trainer Advanced,Formula_Trainer_A-26-fts-Open Wheel-6-FTS,canonical
car,FormulaVee Brazil-Formula Vee,,legacy-fallback
car,FormulaVee Brazil-Formula Vee + Fin,,legacy-fallback
car,Street Cars A-McLaren F1 LM,McLaren_F1_LM-63-streetcarsb-Special-1-Street Cars A,canonical
car,Street Cars B-Ultima GTR (640),Ultima-104-streetcarsb-Special-2-Street Cars B,canonical
car,Ultima-Ultima GTR Race,Ultima_GTR_Race-103-gt3-Special-2-Ultima,canonical
car,Sprint Race-Sprint Race,Sprint_Race-99-sprintrace-Special-3-Sprint Race,canonical
car,Lancer Cup-Mitsubishi Lancer R,Mitsubishi_LancerR-78-lancercup-Special-4-Lancer Cup,canonical
car,Lancer Cup-Mitsubishi Lancer RS,Mitsubishi_LancerRS-79-lancercup-Special-4-Lancer Cup,canonical
car,Street Cars C-Chevrolet Camaro SS,Camaro_SS-7-streetcarsa-Special-4-Street Cars C,canonical
car,Stock Car Brasil 19 GrA-Chevrolet Cruz 2019,,legacy-fallback
car,Stock Car Brasil 20 GrA-Chevrolet Cruz 2020,,legacy-fallback
car,Stock Car Brasil 20 GrA-Toyota Carolla 2020,,legacy-fallback
car,Stock Car Brasil 21 GrA-Chevrolet Cruz 2021,,legacy-fallback
car,Stock Car Brasil 21 GrA-Toyota Carolla 2021,,legacy-fallback
car,Old Stock Race 79-Chevrolet Opala 1979,,legacy-fallback
car,Stock Car Brasil 86 GrB-Chevrolet Opala 1986,,legacy-fallback
car,Super V8-Super V8 (Gen2 ZB),Super_V8-101-superv8-Touring-2-Super V8,canonical
car,M1 PROCAR-BMW M1 Procar,BMW_M1-5-m1procar-Touring-3-M1 PROCAR,canonical
